id,clee,localidad,etapa_productiva_sugerida,decision_estudio_sugerida,flag_estudio_prioritario
11198278,21074315223001051000000000U0,Santa Ana Xalmimilulco,revisar,mantener_pendiente,False
3427200,21074315229000551000000000U7,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
9858680,21074315223000951000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10623693,21074315223000671000000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10860435,21074315223000281000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11339946,21074315223000841000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8559579,21074315229001531000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8089023,21074315229001681000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3428329,21074812210000243010000000U9,Santa Ana Xalmimilulco,acabado_textil,incluir_prioritario,True
3428080,21074315229000661000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3326075,21074315229001442001000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3427871,21074812210000202021000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10363670,21074315223001221000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10105987,21074314120000061000000000U9,Santa Ana Xalmimilulco,fabricacion_textil,incluir_contexto_productivo,False
10401755,21074315229002801000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3428120,21074315229000491001000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11483581,21074315223000851000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11293300,21074315223000861000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3326365,21074314991000141020000000U3,Santa Ana Xalmimilulco,bordado,incluir_contexto_productivo,False
8089083,21074314991000181000000000U9,Santa Ana Xalmimilulco,bordado,incluir_contexto_productivo,False
10980534,21074315223000291000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8090510,21074315229001961000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
6859807,21074313230000016002000000U1,Los Volcanes,fabricacion_textil,incluir_contexto_productivo,False
6379890,21074313210000047100000000U8,La Concepci�n,fabricacion_textil,incluir_contexto_productivo,False
11633655,21074315223000432000000000U3,Santa Ana Xalmimilulco,revisar,mantener_pendiente,False
9910704,21074315223000891000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9948104,21074315223000581000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9825379,21074315223001031000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10773335,21074315223000221000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3427972,21074463310000331010000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11023311,21074315123000021000000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11666621,21074315229002242000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11332144,21074315223000751000000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10530864,21074315229002901000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11179294,21074315223000911000000000U6,Santa Ana Xalmimilulco,revisar,mantener_pendiente,False
10764782,21074315223000091000000000U7,Santa Ana Xalmimilulco,revisar,mantener_pendiente,False
10732616,21074315223001322000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8090459,21074315229001941000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3427899,21074315229000831002000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3427858,21074314991000122002000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8118994,21074315229002083001000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8089256,21074315229001801000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10110594,21074315229002501000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9970863,21074315223000501000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8776906,21074315229002121000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10740318,21074315223001272000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8090460,21074315229001953001000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10730020,21074315223000531000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11239535,21074315223000441000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9819742,21074315223001041000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9607623,21074315223000382000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9888228,21074315223000372000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8090635,21074315229002042001000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8089254,21074315229001791000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8090636,21074315229002053001000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3428312,21074315229000781000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
